date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreTOL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
010713	15:15:48	10024	Language	Language	0	French	836372	0	0	15:15:48	836494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	Session	Session	0	6mo	1231	0	0	15:15:48	837787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	HandFr	HandFr	0	RightFr	1554	0	0	15:15:48	839399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	AudioCheckFr	WordsFr	0	0	0	0	0	15:15:48	1239800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	CubeFr	CubeFr	1	2Cube	82891	0	0	15:15:48	1324656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	blank.simpleFr	2	0	1700	1	0	15:15:48	1364453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	pm.simpleFr	2	57	315	0	0	15:15:48	1364786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	blank.simpleFr	2	0	2400	1	0	15:15:48	1367212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	pm.simpleFr	2	57	230	0	0	15:15:48	1367465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	blank.simpleFr	2	0	1800	1	0	15:15:48	1369278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	pm.simpleFr	2	57	244	0	0	15:15:48	1369544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	blank.simpleFr	2	0	1900	1	0	15:15:48	1371463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	pm.simpleFr	2	57	234	0	0	15:15:48	1371717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	blank.simpleFr	2	0	1600	1	0	15:15:48	1373329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
010713	15:15:48	10024	pm.simpleFrRight	pm.simpleFr	2	57	256	0	0	15:15:48	1373609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
