date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreTOL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
020713	12:06:55	1	Language	Language	0	English	13158	0	0	12:06:55	13438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	Session	Session	0	Baseline	1422	0	0	12:06:55	14987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	HandEng	HandEng	0	Right	1509	0	0	12:06:55	16603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	CubeEng	CubeEng	1	1Cube	1646	0	0	12:06:55	28132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	blank.simpleEng	2	0	1900	1	0	12:06:55	32448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	pm.simpleEng	2	57	334	0	0	12:06:55	32847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	blank.simpleEng	2	0	2400	1	0	12:06:55	35297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	pm.simpleEng	2	57	292	0	0	12:06:55	35647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	blank.simpleEng	2	0	1800	1	0	12:06:55	37496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	pm.simpleEng	2	57	245	0	0	12:06:55	37795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	blank.simpleEng	2	0	2200	1	0	12:06:55	40045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
020713	12:06:55	1	pm.simpleEngRight	pm.simpleEng	2	57	256	0	0	12:06:55	40361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
