date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreTOL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
122612	12:27:38	1	Language	Language	0	French	1270	0	0	12:27:38	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122612	12:27:38	1	Session	Session	0	6mo	1518	0	0	12:27:38	3007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122612	12:27:38	1	HandFr	HandFr	0	LeftFr	7519	0	0	12:27:38	10598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122612	12:27:38	1	AudioCheckFr	WordsFr	0	0	0	0	0	12:27:38	23384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
122612	12:27:38	1	practiceTOLFR	choice	0	R	4775	0	0	12:27:38	50759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	-2	R	0	0	0	4857	0	0	45902	50759
122612	12:27:38	1	practiceTOLFR	choice	0	B	1232	0	0	12:27:38	53155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	-1	R3B	0	0	0	4857	0	0	51903	53155
122612	12:27:38	1	practiceTOLFR	feedbackFR	0	0	2000	0	0	12:27:38	56213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	R3B1	1	3	3	4857	3443	8300	51903	53155
122612	12:27:38	1	testTOLFR	choice	0	B	5486	0	0	12:27:38	67586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	-2	B	0	0	0	5532	0	0	62053	67585
122612	12:27:38	1	testTOLFR	choice	0	R	1617	0	0	12:27:38	70574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	1	-1	B3R	0	0	0	5532	0	0	68928	70573
122612	12:27:38	1	testTOLFR	feedbackFR	0	0	2000	0	0	12:27:38	73682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2	0	B3R2	1	3	3	5532	4085	9617	68928	70573
122612	12:27:38	1	testTOLFR	choice	0	background	5824	1	0	12:27:38	80553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	0	-3	background	0	0	3	5864	0	0	74689	80553
